date,buckets,sessions_started,input_tokens,cached_input_read_tokens,output_tokens,reasoning_output_tokens,accounted_total_tokens,legacy_total_tokens_excluding_cached_input
2026-01-06,7,35,885364,3171640,35227,38576,4130807,959167
2026-01-07,6,34,514582,1514801,34184,40060,2103627,588826
2026-01-08,8,2,824630,21045376,87284,206912,22164202,1118826
2026-01-09,5,2,742848,6239626,13679,53310,7049463,809837
2026-01-10,1,1,89347,563072,6500,16640,675559,112487
2026-01-11,26,290,4002218,43136735,79415,584083,47802451,4665716
2026-01-12,7,5,748940,6071227,33880,36236,6890283,819056
2026-01-13,1,1,65872,629760,5115,29921,730668,100908
2026-01-15,11,19,984194,9414272,75329,178520,10652315,1238043
2026-01-16,42,736,6164502,51274354,241808,609570,58290234,7015880
2026-01-17,2,6,169371,2960070,11495,21536,3162472,202402
2026-01-18,7,12,353832,14408884,58683,61631,14883030,474146
2026-01-19,0,1,0,0,0,0,0,0
2026-01-20,18,371,1486034,24847112,-55968,226778,26503956,1656844
2026-01-21,42,212,6674825,66367114,283882,495738,73821559,7454445
2026-01-22,3,2,444390,6050304,30169,24960,6549823,499519
2026-01-23,7,501,1086050,3661178,-128700,212926,4831454,1170276
2026-01-24,9,272,1096443,3858238,-72049,136610,5019242,1161004
2026-01-25,10,7,1064173,16649228,88157,176297,17977855,1328627
2026-01-26,16,212,2497698,34997848,12499,342021,37850066,2852218
2026-01-27,24,93,2949211,50390894,169563,338799,53848467,3457573
2026-01-28,17,4,2217498,77563648,217296,264696,80263138,2699490
2026-01-29,32,118,5700827,226640198,453947,686864,233481836,6841638
2026-01-30,7,0,1498074,44875264,133117,159381,46665836,1790572
2026-01-31,20,48,3101985,166926391,101209,499111,170628696,3702305
2026-02-01,35,60,7080125,263785223,359303,784143,272008794,8223571
2026-02-02,68,58,5827653,138530688,267212,440177,145065730,6535042
2026-02-03,156,135,8008479,235227520,417388,971207,244624594,9397074
2026-02-04,6,2,1498837,13876480,94963,100093,15570373,1693893
2026-02-05,16,70,3506767,90927104,237332,455699,95126902,4199798
2026-02-07,3,1,376165,7155968,68476,54672,7655281,499313
2026-02-08,4,2,527350,3650816,37085,51891,4267142,616326
2026-02-09,15,4,3808827,90368768,477144,391148,95045887,4677119
2026-02-10,17,21,4360744,79239296,349120,286477,84235637,4996341
2026-02-11,13,23,3154644,103436288,292528,285412,107168872,3732584
2026-02-12,8,175,2562264,6009344,-136664,213013,8647957,2638613
2026-02-13,8,1,1807934,29073152,100809,67047,31048942,1975790
2026-02-14,5,3,734703,15788544,43988,21577,16588812,800268
2026-02-18,1,1,305107,2158080,11017,8008,2482212,324132
2026-02-19,1,0,7487,14208,25,0,21720,7512
2026-02-23,13,196,2164320,19471302,-17105,131313,21749830,2278528
2026-02-24,18,13,5144218,73679744,263862,153656,79241480,5561736
2026-02-25,46,9,16634340,422527488,1124926,948574,441235328,18707840
2026-02-26,61,55,20331830,382770506,1114275,660950,404877561,22107055
2026-02-27,55,106,17897015,306460288,871404,624030,325852737,19392449
2026-02-28,22,169,10263673,116358066,582550,518256,127722545,11364479
2026-03-01,35,24,12484640,159443072,471346,477516,172876574,13433502
2026-03-02,27,30,5429489,105432192,346656,309077,111517414,6085222
2026-03-03,26,16,7926868,89615100,354930,273897,98170795,8555695
2026-03-04,7,9,6920169,87454720,418320,359127,95152336,7697616
2026-03-05,31,90,19064339,142046762,717079,522354,162350534,20303772
2026-03-06,6,94,2971432,5524209,-55612,119111,8559140,3034931
2026-03-08,51,110,12874382,102686777,690904,420882,116672945,13986168
2026-03-09,44,62,34852218,195414595,1060952,665464,231993229,36578634
2026-03-10,46,54,23182628,195573227,1292209,582688,220630752,25057525
2026-03-11,55,41,30764139,204404024,1106125,542526,236816814,32412790
2026-03-12,41,43,32251074,303767442,1040485,492910,337551911,33784469
2026-03-13,68,1087,75966916,503821598,1722348,1862446,583373308,79551710
2026-03-14,5,2,447020,2527744,19485,9662,3003911,476167
2026-03-15,2,1,460099,2641024,16483,7210,3124816,483792
2026-03-16,24,12,11321396,81963904,267529,128815,93681644,11717740
2026-03-17,63,131,73279032,417006615,2265922,1172680,493724249,76717634
2026-03-18,64,36,53169050,178895488,846929,458452,233369919,54474431
2026-03-19,53,58,54108287,288346161,1282844,644912,344382204,56036043
2026-03-20,18,6,5164474,38335744,199744,101621,43801583,5465839
2026-03-21,6,6,2099940,23401216,133297,65257,25699710,2298494
